id,vcenter_host_scope,datastore,status,deleted_vmdk_count,deleted_size_gb,remaining_vmdk_count,remaining_size_gb,baseline_job_id,verification_job_id,created_at,updated_at
52,s2001.ms,STC_LUN_03,datastore_removed,11,49.577,0,0.0,19697c70-b983-4277-8193-b76d99f5b6f9,c2af04f1-4687-443d-86b1-6dfb53ba9094,2026-05-20 14:43:07,2026-05-20 14:43:07
53,s2001.ms,STC_LUN_04,datastore_removed,1,175.928,0,0.0,19697c70-b983-4277-8193-b76d99f5b6f9,f776c825-271d-4060-b23f-221c2008011b,2026-05-20 14:44:35,2026-05-20 14:44:35
54,s2000.ms,STA_LUN_01,partial_cleanup,8,217.202,0,0.0,45db7c30-e273-4305-9790-7c85a0284418,2a394d72-427b-4190-a3bc-9ef1aea5d2db,2026-05-26 11:45:05,2026-05-26 11:45:05
55,s2000.ms,STB_LUN_01,no_cleanup,0,0.0,0,0.0,45db7c30-e273-4305-9790-7c85a0284418,7246791c-ad6b-4672-b104-11ddc8826496,2026-05-27 13:23:51,2026-05-27 13:23:51
56,s2001.ms,STD_LUN_01,partial_cleanup,1,1.0,0,0.0,19697c70-b983-4277-8193-b76d99f5b6f9,5de525d9-1189-461b-972c-37756757255b,2026-06-01 18:04:56,2026-06-01 18:04:56
57,s2001.ms,STD_LUN_02,partial_cleanup,13,448.876,0,0.0,19697c70-b983-4277-8193-b76d99f5b6f9,4e663a7d-4c50-4847-b9f6-c7f0080af8bd,2026-06-01 18:06:55,2026-06-01 18:06:55
58,s2001.ms,STD_LUN_05,no_cleanup,0,0.0,0,0.0,19697c70-b983-4277-8193-b76d99f5b6f9,623fd082-0836-4e86-b544-919b2ca70383,2026-06-01 18:35:29,2026-06-01 18:35:29
59,s2001.ms,STD_LUN_06,no_cleanup,0,0.0,0,0.0,19697c70-b983-4277-8193-b76d99f5b6f9,61984fcc-1db1-49d3-9250-e35fc7f76afe,2026-06-01 18:37:19,2026-06-01 18:37:19
60,s2001.ms,STD_LUN_07,partial_cleanup,1,10240.0,0,0.0,19697c70-b983-4277-8193-b76d99f5b6f9,4be24884-02fe-4731-baee-405601fb077d,2026-06-01 18:39:14,2026-06-01 18:39:14
61,s2001.ms,STD_LUN_08,no_cleanup,0,0.0,0,0.0,19697c70-b983-4277-8193-b76d99f5b6f9,f8515740-2212-415c-937e-752e37680474,2026-06-01 18:41:48,2026-06-01 18:41:48
62,s2001.ms,STA_LUN_01,datastore_removed,0,0.0,0,0.0,19697c70-b983-4277-8193-b76d99f5b6f9,7a7b5d4b-bf4a-473b-9af9-c529a2acc504,2026-06-01 19:25:56,2026-06-01 19:25:56
63,s2001.ms,STD_LUN_03,no_cleanup,0,0.0,0,0.0,19697c70-b983-4277-8193-b76d99f5b6f9,d3ce9bc5-1d21-40c9-9b03-a82ef863d570,2026-06-01 19:43:39,2026-06-01 19:43:39
